timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2022-01-01T17:45:00Z,2022-01-01T18:45:00+0100,1842.23,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T17:45:00Z,2022-01-01T18:45:00+0100,0.06,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T18:00:00Z,2022-01-01T19:00:00+0100,1821.33,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T18:00:00Z,2022-01-01T19:00:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T18:15:00Z,2022-01-01T19:15:00+0100,1854.07,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T18:15:00Z,2022-01-01T19:15:00+0100,0.04,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T18:30:00Z,2022-01-01T19:30:00+0100,1768.54,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T18:30:00Z,2022-01-01T19:30:00+0100,0.09,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T18:45:00Z,2022-01-01T19:45:00+0100,1752.85,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T18:45:00Z,2022-01-01T19:45:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T19:00:00Z,2022-01-01T20:00:00+0100,1786.44,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T19:00:00Z,2022-01-01T20:00:00+0100,0.04,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
