timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-03T12:15:00Z,2026-01-03T13:15:00+0100,6140.1,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T12:30:00Z,2026-01-03T13:30:00+0100,5977.6,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T12:45:00Z,2026-01-03T13:45:00+0100,5875.13,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T13:00:00Z,2026-01-03T14:00:00+0100,5858.98,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T13:15:00Z,2026-01-03T14:15:00+0100,5980.45,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T13:30:00Z,2026-01-03T14:30:00+0100,5846.99,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T13:45:00Z,2026-01-03T14:45:00+0100,5610.81,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T14:00:00Z,2026-01-03T15:00:00+0100,5392.91,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T14:15:00Z,2026-01-03T15:15:00+0100,5180.24,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T14:30:00Z,2026-01-03T15:30:00+0100,5065.17,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T14:45:00Z,2026-01-03T15:45:00+0100,4768.5,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T15:00:00Z,2026-01-03T16:00:00+0100,4610.87,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T15:15:00Z,2026-01-03T16:15:00+0100,4455.96,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T15:30:00Z,2026-01-03T16:30:00+0100,4409.96,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T15:45:00Z,2026-01-03T16:45:00+0100,4272.64,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
